product_id	id_web	prix_unitaire	nombre_vendu	post_title	prix_total
4974	16004	23.0	5.0	Château du Couvent Pomerol 2017	115.0
4165	15075	12.0	3.0	Parés Baltà Penedès Indigena 2017	36.0
4174	16209	5.7	6.0	Maurel Cabardès Tradition 2017	34.2
6635	15763	22.4	1.0	Domaine de la Monardière Vacqueyras Vieilles Vignes 2016	22.4
5796	13895	12.5	0.0	Château Saransot-Dupré Bordeaux Blanc 2016	0.0
4582	12857	109.6	0.0	Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014	0.0
6920	15740	50.5	0.0	Château Jean Faure Saint-Emilion Grand Cru 2015	0.0
4256	14253	24.4	0.0	Domaine Huet Vouvray Haut-Lieu Sec 2017	0.0
6106	14106	74.8	0.0	Stéphane Tissot Château-Chalon 2011	0.0
6212	13996	115.0	2.0	Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015	230.0
5504	16146	13.8	3.0	Château de la Selve Coteaux de l'Ardèche Blanc Saint-Régis Blanc 2019	41.400000000000006
5956	15895	17.2	0.0	Clos du Prieur Terrasses du Larzac 2018	0.0
5522	15861	48.4	1.0	Domaine Chambeyron Côte Rôtie L'Angéline 2017	48.4
4246	15428	15.3	7.0	Domaine Saint-Denis Mâcon Lugny 2017	107.10000000000001
4242	15310	8.6	14.0	Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018	120.39999999999999
4618	14372	30.6	0.0	Alphonse Mellot Sancerre Rouge La Moussière 2014	0.0
4625	812	52.4	0.0	Marcel Windholtz Eau de Vie de Sureau	0.0
5756	7033	42.2	4.0	Huile d'Olive Extra Vierge Planeta Selezione Chef 3L	168.8
6222	7032	26.4	0.0	Planeta Sicilia Passito di Noto 2016	0.0
6207	16077	25.2	37.0	Domaine Giudicelli Patrimonio Rouge 2016	932.4
4153	16237	29.0	36.0	Elian Daros Côtes du Marmandais Clos Baquey 2015	1044.0
6072	16028	13.6	9.0	Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019	122.39999999999999
4148	1364	37.5	0.0	Champagne Mailly Grand Cru Brut Rosé	0.0
5026	13913	86.8	0.0	Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012	0.0
5546	15202	15.2	6.0	Thierry Germain Saumur-Champigny Cuvée Domaine 2018	91.19999999999999
4733	15576	16.8	0.0	Camin Larredya Jurançon Sec La Part Davant 2018	0.0
4039	19815	46.0	0.0	Pierre Jean Villa Côte Rôtie Carmina 2017	0.0
4605	15148	32.2	0.0	Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016	0.0
5891	15774	19.0	1.0	Saumaize-Michelin Viré-Clessé 2018	19.0
5715	14982	13.7	0.0	François Baur Gewurztraminer Herrenweg de Turckheim 2016	0.0
4130	15339	23.0	0.0	Zind-Humbrecht Pinot Gris Roche Calcaire 2017	0.0
4115	15382	100.0	0.0	Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017	0.0
5826	15325	41.2	4.0	Agnès Levet Côte Rôtie Améthyste 2017	164.8
5611	15945	63.4	1.0	Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018	63.4
4156	14941	20.35	6.0	Elian Daros Côtes du Marmandais Coucou Blanc 2016	122.10000000000001
5818	15241	63.5	0.0	Maison Trimbach Riesling Grand Cru Schlossberg 2015	0.0
4398	12641	59.0	0.0	Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength	0.0
4232	16269	11.1	2.0	Argentine Mendoza Alamos Chardonnay 2019	22.2
4274	12942	12.9	0.0	Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale	0.0
5069	15344	65.0	0.0	Albert Mann Pinot Noir Les Saintes Claires 2017	0.0
6664	15661	35.6	0.0	Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017	0.0
4865	16274	9.8	13.0	Mourgues du Grès Costières de Nîmes Capitelles Rosé 2018	127.4
5694	14661	12.7	5.0	Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016	63.5
4213	15718	58.8	0.0	Lucien Boillot Volnay 1er Cru Les Angles 2017	0.0
4908	14395	53.2	4.0	Alphonse Mellot Sancerre Blanc Edmond 2016	212.8
5769	15254	33.6	0.0	Camille Giroud Marsannay Rouge Les Longeroies 2016	0.0
4674	16056	19.0	7.0	Domaine Pellé Sancerre Blanc La Croix Au Garde 2018	133.0
5016	14839	9.3	3.0	Château Tour Des Gendres Bergerac Blanc Cuvée Des Conti 2017	27.900000000000002
5551	13957	36.3	0.0	Thierry Germain Saumur-Champigny Franc De Pied 2017	0.0
4596	15476	43.9	23.0	Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017	1009.6999999999999
4653	13515	36.2	0.0	Thierry Germain Saumur-Champigny Franc De Pied 2016	0.0
4704	15004	18.2	3.0	Albert Mann Gewurztraminer 2017	54.599999999999994
6216	15070	121.0	0.0	Domaine des Comtes Lafon Volnay 1er Cru Champans 2016	0.0
4251	15032	14.1	8.0	Domaine Saint-Denis Bourgogne Rouge Le Clos 2017	112.8
4042	16042	31.2	7.0	Pierre Gaillard Cornas 2017	218.4
4900	16063	20.8	1.0	Domaine Brintet Mercurey Rouge Vieilles Vignes 2018	20.8
5008	11602	105.0	0.0	Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013	0.0
4976	16005	16.45	4.0	Château Lafont Menaut Pessac-Leognan Rouge 2017	65.8
4937	16283	9.9	4.0	Domaine Rouge Garance Côtes du Rhône Feuille de Garance 2019	39.6
4915	15615	25.9	8.0	Jean-Baptiste Arena Patrimonio Blanc Morta Maio	207.2
4650	15206	25.3	5.0	Thierry Germain Saumur Blanc L'Insolite 2018	126.5
5552	13520	57.7	0.0	Thierry Germain Saumur Blanc Clos Roman 2016	0.0
5563	19821	58.0	0.0	Tempier Bandol Tourtine 2017	0.0
